key,fr_FR,nl_NL,it_IT,de_DE,nl_BE,es_ES,pt_ES
forms > forms.productreview.author,Votre nom,Naam,Il tuo nome,Ihr Name,Naam,Tu nombre,O seu nome
forms > forms.productreview.author.missing-error,Gelieve een naam in te vullen.,Vul aub een naam in.,Inserisci un nome.,Bitte geben Sie einen Namen an.,Gelieve een naam in te vullen.,Introduce un nombre.,Introduza um nome.
forms > forms.productreview.comment,Votre avis,Je ervaring,La tua recensione,Ihre Meinung,Uw mening,Tu opinión,A sua opinião
forms > forms.productreview.comment.missing-error,Gelieve uw mening in te vullen.,Vul aub je mening in.,Scrivi la tua recensione.,Geben Sie bitte Ihre Meinung an.,Gelieve uw mening in te vullen.,Introduce tu opinión.,Escreva a sua opinião.
forms > forms.productreview.email,Votre E-mail,E-mail,La tua e-mail,Ihre E-Mail,E-mail,Tu correo electrónico,O seu e-mail
forms > forms.productreview.email.missing-error,Gelieve een e-mailadres in te vullen.,Vul aub je e-mailadres in.,Inserisci la tua mail.,Geben Sie Ihre E-Mail-Adresse an.,Gelieve een e-mailadres in te vullen.,Introduce tu correo electrónico.,Introduza um e-mail.
forms > forms.productreview.rating,Votre note,Aantal sterren,La tua valutazione,Ihre Bewertung,Uw score,Tu nota,A sua nota
forms > forms.productreview.rating.yourreview,Votre note,Aantal sterren,La tua valutazione,Ihre Bewertung,Uw score,Tu nota,A sua nota
forms > address.postalcode.example,Voorbeeld: 12345,Voorbeeld: 1234 AB,Exemple : 12345,Beispiel: 12345,Voorbeeld: 12345,Ejemplo: 12345,Exemplo: 12345
forms > billing.email,E-mail,E-mailadres,E-mail,E-Mail,E-mailadres,Correo electrónico,E-mail
forms > checkout.addtoaddressbook,Ajouter au carnet d'adresses,Aan adresboek toevoegen,Ajouter au carnet d'adresses,Zum Adressbuch hinzufügen,Aan adresboek toevoegen,Añadir a la libreta de direcciones,Adicionar ao livro de endereços
forms > checkout.addtoemaillist,Je souhaite être ajouté à la liste de diffusion de Babyliss Paris. Babyliss Paris ne communique ni ne vend les informations personnelles.,Meld je aan en lees als eerste over de nieuwste producten,Je souhaite être ajouté à la liste de diffusion de Babyliss Paris. Babyliss Paris ne communique ni ne vend les informations personnelles.,Ich möchte in die Verteilerliste von Babyliss Paris aufgenommen werden.  Babyliss Paris verbreitet oder verkauft keine persönlichen Daten.,Ik wil aan de adressenlijst van BaByliss Parijs worden toegevoegd. BabyLiss communiceert en verkoopt geen persoonlijke informatie.,Quiero suscribirme a la lista de correo de Babyliss Paris. Babyliss Paris no comunica ni vende información personal.,Quero ser adicionado à lista de envio de correio da Babyliss Paris. A Babyliss Paris não transmite nem vende os seus dados pessoais.
forms > checkout.addtoemaillistParis,BaByliss Paris,BaByliss,BaByliss Paris,BaByliss Paris,BaByliss,BaByliss Paris,BaByliss Paris
forms > checkout.shipment.no,Non,Nee,Non,Nein,Nee,No,Não
forms > checkout.shipment.yes,Oui,Ja,Oui,Ja,Ja,Sí,Sim
forms > checkout.useasbillingaddress,Utiliser cette adresse pour la facturation,Gebruik deze gegevens ook voor mijn factuur,Utiliser cette adresse pour la facturation,Diese Adresse als Rechnungsadresse verwenden,Gebruik dit adres voor de factuur,Utilizar esta dirección para la facturación,Utilizar este endereço para a faturação
forms > confirm.delete,Voulez-vous supprimer cette {0} ?,Wilt u deze {0} verwijderen?,Voulez-vous supprimer cette {0} ?,Möchten Sie diese {0} löschen?,Wilt u deze {0} verwijderen?,¿Quieres borrar esta {0}?,Pretende excluir esta {0} ?
forms > contactus.ambassador.submit,Sign Up!,> Meld je aan!,Sign Up!,Sign Up!,Meld u aan!,¡Suscríbete!,Inscreva-se!
forms > contactus.ambassador.undertitle,Remplissez le formulaire ci-dessous pour participer,Vul het onderstaande formulier in om deel te nemen,Remplissez le formulaire ci-dessous pour participer,"Füllen Sie bitte nachstehendes Formular aus, um teilzunehmen",Vul het onderstaande formulier in om deel te nemen,Rellena el siguiente formulario para participar,Preencha o formulário abaixo para participar
forms > contactus.city,Ville,Plaats,Ville,Ort,Stad,Localidad,Localidade
forms > country.luxembourg,Luxembourg,Luxemburg,Luxembourg,Luxemburg,Luxemburg,Luxemburgo,Luxemburgo
forms > country.netherlands,Netherlands,Nederland,Netherlands,Niederlande,Nederland,Países Bajos,Holanda
forms > country.nl,Netherlands,Nederland,Netherlands,Niederlande,Nederland,Países Bajos,Holanda
forms > creditcard.cvnlabel,Code de sécurité,Veiligheidscode,Code de sécurité,Sicherheitscode,Veiligheidscode,Código de seguridad,Código de segurança
forms > creditcard.cvnmissingerror,Veuillez saisir votre code de sécurité,Vul uw veiligheidscode in,Veuillez saisir votre code de sécurité,Bitte geben Sie Ihren Sicherheitscode ein,Vul uw veiligheidscode in,Introduce tu código de seguridad,Introduza o seu código de segurança
forms > creditcard.cvnrangeerror,Code de sécurité non valide,Ongeldige veiligheidscode,Code de sécurité non valide,Sicherheitscode ist ungültig,Ongeldige veiligheidscode,Código de seguridad no válido,Código de segurança inválido
forms > creditcard.monthmissingerror,Veuillez sélectionner un mois d'expiration,Selecteer vervaldatum - maand,Veuillez sélectionner un mois d'expiration,Bitte wählen Sie den Monat des Ablaufdatums aus ,Selecteer vervaldatum - maand,Selecciona un mes de caducidad,Selecione o mês do prazo de validade
forms > creditcard.numberexample,Exemple : 4111111111111111,Voorbeeld: 4111111111111111,Exemple : 4111111111111111,Beispiel: 4111111111111111,Voorbeeld: 4111111111111111,Ejemplo: 4111111111111111,Exemplo: 4111111111111111
forms > creditcard.numbermissingerror,Veuillez saisir le numéro tel qu'il figure sur votre carte,Vul het nummer in dat op uw kaart vermeld staat,Veuillez saisir le numéro tel qu'il figure sur votre carte,"Bitte geben Sie die Nummer so an, wie sie auf Ihrer Karte steht",Vul het nummer in dat op uw kaart vermeld staat,Introduce el número como aparece en tu tarjeta,Introduza o número conforme indicado no seu cartão
forms > creditcard.numberrangeerror,Le numéro doit avoir 13 ou 16 chiffres,Het nummer moet uit 13 of 16 cijfers bestaan.,Le numéro doit avoir 13 ou 16 chiffres,Die Nummer muss aus 13 oder 16 Zahlen bestehen,Het nummer moet uit 13 of 16 cijfers bestaan.,El número debe tener 13 o 16 cifras,O número deve ter 13 ou 16 dígitos
forms > creditcard.numbervalueerror,Numéro de carte de crédit non valide,Ongeldig creditcardnummer,Numéro de carte de crédit non valide,Kreditkartennummer ist ungültig,Ongeldig creditcardnummer,Número de tarjeta de crédito no válido,Número de cartão de crédito inválido
