key,fr_FR,it_IT
account > account.addressbook.addresslist.create,Créer une adresse,Créer une adresse
account > account.addressbook.addresslist.header,Adresses,Indirizzo
account > account.addressbook.miniaddress.phone,Téléphone :,Téléphone :
account > account.header,Mon compte,Mon compte
account > account.header.creataccount,Création de compte,Création de compte
account > account.login.checkmessage,Affichez votre commande même si vous n'êtes pas un utilisateur enregistré. Saisissez le numéro de la commande ainsi que le code postal de l'adresse de facturation., auch wenn Sie kein registrierter Benutzer sind.  Geben Sie die Nummer der Bestellung sowie die Postleitzahl der Rechnungsadresse ein.
account > account.login.logininclude.customersheader,Connectez-vous,Connectez-vous
account > account.login.logininclude.forgotpassword,Mot de passe oublié ?,Mot de passe oublié ?
account > account.login.logininclude.forgotpassword.label,Demander la réinitialisation de votre mot de passe,Demander la réinitialisation de votre mot de passe
account > account.login.logininclude.locked,Ce compte est actuellement verrouillé.  Veuillez réessayer plus tard.,Ce compte est actuellement verrouillé.  Veuillez réessayer plus tard.
account > account.login.logininclude.loginerror,Désolé,Leider entsprechen Ihre Angaben keinem bei uns registrierten Profil.  Überprüfen Sie die Schreibweise und versuchen Sie es erneut.
account > account.login.logininclude.loginfberror,Désolé,Diese Adresse ist bereits einem anderen Konto zugeordnet
account > account.login.logininclude.oauthcustomersheader,Connectez-vous à l'aide de votre compte à partir de,Connectez-vous à l'aide de votre compte à partir de
account > account.login.logininclude.oauthcustomersheaderreturning,Vous vous êtes déjà connecté à l'aide du fournisseur externe ci-dessous. Cliquez sur ce fournisseur pour vous connecter à nouveau., um sich erneut anzumelden.
account > account.login.logininclude.registered,Saisissez votre adresse email et votre mot de passe pour vous identifier sur le site., um sich auf der Webseite anzumelden.
account > account.login.orderbutton,Vérifier la commande,Vérifier la commande
account > account.login.ordererror,Désolé, cette adresse e-mail ou ce code postal ne correspond à aucun profil dans nos dossiers. Vérifiez les informations saisies et recommencez.
account > account.login.orderheader,Vérifier la commande,Vérifier la commande
account > account.orderdetails.returnorder,<< Retour à l'historique des commandes,<< Retour à l'historique des commandes
account > account.orderdetails.returnshopping,Poursuivre les achats,Poursuivre les achats
account > account.orders.datelabel,Date de la commande :,Date de la commande :
account > account.orders.items,Articles :,Articles :
account > account.orders.noorders,Nous n'avons aucun enregistrement pour ce compte.,Nous n'avons aucun enregistrement pour ce compte.
account > account.orders.notfound,Désolé,Leider ist die Bestellung
account > account.orders.numberlabel,Numéro de commande :,Numéro de commande :
account > account.orders.orderdetail,Détails de la commande,Détails de la commande
account > account.orders.orderhistory,Historique des commandes,Storico ordini
account > account.orders.shippedto,Expédié à :,Expédié à :
account > account.orderstatusinclude.ordercanceled,Annulé,Annulé
account > account.orderstatusinclude.ordercontact,Contactez le support client :,Contactez le support client :
account > account.orderstatusinclude.orderprocessed,En cours de traitement,En cours de traitement
account > account.orderstatusinclude.ordershipped,Expédié,Expédié
account > account.orderstatusinclude.statuslabel,État de la commande :,État de la commande :
account > account.passwordchangedemail.dear,Cher(ère),Cher(ère)
account > account.passwordchangedemail.message1,Vous venez de créer un nouveau mot de passe pour votre compte.,Vous venez de créer un nouveau mot de passe pour votre compte.
account > account.passwordchangedemail.message2,Vous pouvez accéder à votre compte à ,Vous pouvez accéder à votre compte à
account > account.passwordchangedemail.message3,Cet e-mail est généré automatiquement,Diese E-Mail wurde automatisch versandt
account > account.passwordchangedemail.subject,Votre nouveau mot de passe,Votre nouveau mot de passe
account > account.passwordreset.button,Envoyer,Envoyer
account > account.passwordreset.message,Indiquez votre adresse e-mail pour recevoir un message permettant de réinitialiser votre mot de passe., um eine Nachricht zu erhalten
account > account.passwordreset.notfounderror,Aucune adresse e-mail correspondante n'a été trouvée.,Aucune adresse e-mail correspondante n'a été trouvée._x000D_
account > account.passwordreset.resubmit,Pour envoyer une nouvelle demande,Um eine neue Anfrage zu senden
account > account.passwordreset.sent,Consultez votre messagerie pour voir si vous avez reçu un e-mail contenant un lien pour réinitialiser votre mot de passe., um zu sehen
account > account.passwordreset.title,Réinitialiser le mot de passe,Réinitialiser le mot de passe
account > account.passwordreset.title2,Demande de réinitialisation de votre mot de passe,Demande de réinitialisation de votre mot de passe
account > account.passwordresetconfirm.homepagelink,Aller à la page d'accueil,Aller à la page d'accueil
account > account.passwordresetconfirm.message,Nous vous remercions de nous avoir communiqué votre adresse e-mail. Nous vous avons envoyé un e-mail contenant les informations nécessaires pour réinitialiser votre mot de passe. La réception de cet e-mail peut prendre quelques minutes. Vérifiez dans votre dossier des courriers indésirables si vous n'avez pas déjà reçu cet e-mail., wenn Sie diese E-Mail noch nicht erhalten haben.
account > account.passwordresetconfirm.title,Demande de réinitialisation de votre mot de passe reçue,Demande de réinitialisation de votre mot de passe reçue
account > account.paymentinstrumentdetails.expires,Date d'expiration :,Date d'expiration :
account > account.paymentinstrumentlist.addcard,Ajouter une carte de crédit,Ajouter une carte de crédit
account > account.paymentinstrumentlist.addcard.label,Ajouter une carte de crédit à ce compte,Ajouter une carte de crédit à ce compte
